Ricky Gervais:	  Ten years ago, an unknown   pirate from Encino began a  decade long obsession  with TV's most beloved  an absorbent sponge. And today,  a mere ten years later, obviously,  ten years ago, I said that,  he has traveled all the way to a far off land known as, "Burbank."  To find Nicktoons Animation Studio  and meet his idol  face to face for the first time  in  ten years...it's ten years ago.  It's ten years ago.  Let's see what happens, yeah.
Painty:	 Oh...  ♪ Who lives in a monument under the sea?♪
Kids:	  ♪ Squidward Tentacles! ♪
Painty:	 ♪ Obnoxious, abrasive, conceded is he. ♪
Kids:	  ♪ Squidward Tentacles! ♪
Painty:	  ♪ If practical common sense be something you wish, ♪
Kids:	  ♪ Squidward Tentacles! ♪
Patchy:	  Next!
Painty:	 Are you ready, kids? 
Kids:	 Aye, aye, Captain.
Painty:	 I can't hear you.
Kids:	 Aye, aye, Captain!
Painty:	 Oh...  ♪ Who lives like a barnacle under the sea?♪
Kids:	  ♪ Patrick Sea Star! ♪
Patrick:	 Oh! 
Patchy:	  No!
Painty:	 Are you ready, kids? 
Kids:	 Aye, aye, Captain.
Painty:	 I can't hear you.
Kids:	 Aye, aye, Captain!
Painty:	 Oh...  ♪ Who lives in an anchor under the sea?♪
Kids:	  ♪ Eugene Krabs does! ♪
Mr. Krabs:	 Hey!
Painty:	 ♪ Crusty and red and greedy is he.  ♪
Mr. Krabs:	 Come back with me money!
Kids:	  ♪ Eugene Krabs does! ♪
Painty:	 ♪ If stingy and greedy is something you wish, ♪
Kids:	  ♪ Eugene Krabs does! ♪
Mr. Krabs:	 Gimme, gimme, gimme, gimme, gimme, gimme.
Patchy:	 Ugh. Pretty cruddy, huh, kids? Here's a really old clip of SpongeBob. Back then, cartoons were called flickering funnies.
Furniture:	 ♪ Time to go to work! ♪
SpongeBob:	 ♪ I'm ready, I'm ready to go to work. ♪
Furniture:	 ♪ He's ready, ♪
SpongeBob:	 Ready!
Furniture:	 ♪ He's ready to go to work.
SpongeBob:	 Yeah!  Hello, Krusty Krab!  ♪ I'm ready, I'm ready to go to work. ♪
Pineapple and The Krusty Krab:	 ♪ He's ready, he's ready to go to work. ♪
SpongeBob:	 ♪ I'm ready, I'm ready to go to work. ♪
Order Window and grill:	 ♪ He's ready, ♪
SpongeBob:	 I'm ready!
Order Window and grill:	 ♪ He's ready, ♪
SpongeBob:	 Ready!
Order Window and grill:	 ♪ To go to work.
Patchy:	 Oh, you.  You little scalawag.  Hey, kids. Just having some technical difficulties.  Oh! Oh. don't sneeze. don't sneeze.
Whale:	 Ah... Ah...
Patchy:	 Oh... Ooh...  Huh! There is is! SpongeBob's house! Oh, I finally get to meet me hero!  Whoo! 
SpongeBob:	 Well, hello.  Are you okay?  Mister?
The Guy on the Penny:	  Mister, are you okay?
Patchy:	 SpongeBob?
The Guy on the Penny:	 No, its just me, the Guy on the Penny.
Patchy:	 How'd I get here? Where's SpongeBob? Ah, who am I kidding? I'm never going to see SpongeBob.
The Guy on the Penny:	 See?
[Patchy:	 I know. SpongeBob.
Crowd:	 We want Krabby Patties! We want Krabby Patties!
SpongeBob:	 And we didn't even get to celebrate The Krusty Krab's eleventy-seventh anniversary. We missed what could have been the greatest party ever!
Patrick:	 Hmm. You guys ready to give up?
Mr. Krabs:	 Yes.
Squidward:	 Yes.
Patrick:	 And I'll just write my... myself down here for... forgiving up, too. Uh, SpongeBob?
SpongeBob:	 No, Patrick, I don't want to give up.
Patrick:	 Ooh! I know. Uh, let's just say are tearful farewells and solemn last words, huh?
Mr. Krabs:	 I didn't make any money.
Squidward:	 I never made anyone sick with envy.
Patrick:	 I didn't get to sleep in  this morning.
SpongeBob:	 Guys, we can't give up now. We got into this mess together, and we'll get ourselves out of it the same way.
Patrick:	 Through the freezer?
SpongeBob:	 No. By using our heads.
Mr. Krabs:	 To concoct an elaborate escape plan?
SpongeBob:	 No.  As a battering ram.  Hut. 
Patrick:	  Owie!
Squidward:	  Ow!
Mr. Krabs:	  Ow!
Patrick:	  Owie!
Squidward:	  Ow!
Mr. Krabs:	  Ow!
Patrick:	  Owie!
Squidward:	  Ow!
Mr. Krabs:	  Ow!
SpongeBob:	  Okay. This is the one. Feel very good about this. Okay. Ready?
Mr. Krabs:	 Oh, boy, we made it out!  Woo-hoo!  Money! Money! Money! Money!  Come on in folks.  No need to shove. Plenty of room for all your money! ay-yi... Oh! Where are all me customers?  They left.. with all their money?!
Squidward:	 We went through all that for nothing?!
SpongeBob:	 Oh, it was not for nothing, Squidward. I spent the whole day with my best friends.   You, Squidward.  And you Patrick.
Patrick:	 What now?
SpongeBob:	 And let's not forget the man who made it all possible. Mr. Krabs. What could be better?
Mr. Krabs:	 Money!
SpongeBob:	 ♪ Oh! ♪
Squidward:	 Oh, no. He's not going to sing.
SpongeBob:	 Oh, Krusty Krab, oh, Krusty Krab. Oh, how I love you, Krusty Krab. Your Krabby Patties from the grill.  The smell of grease gives me a thrill.  Oh, Krusty Krab, oh, Krusty Krab. Oh, how I love you, Krusty Krab.  With prices high  and your portions small.  There are stains of mustard on the wall.  Oh, Krusty Krab, oh, Krusty Krab. Oh, how I love you,  Krusty Krab.  Oh, Krusty Krab, oh, Krusty Krab.  Oh, how I love ya,  Krusty Krab.  Oh, Krusty Krab,  oh,  Krusty Krab.  Oh, how I  love you, Krusty Krab. ♪ 
Squidward:	 Mr. Krabs, look.
Mr. Krabs:	 Me customers? They're coming back? SpongeBob's dopey little song is bringing 'em back.
SpongeBob:	 Oh, Krusty Krab, you've always been there for me. When I'm tired and hungry, I just reach out my hand, and there you are with a Krabby Patty that's all so hot and juicy. Are you with me people?!
Crowd:	 Yeah!
SpongeBob:	 I said, are you with me people?!
Crowd:	 Yeah!
SpongeBob:	 In that case, let's get some Krabby Patties!
Plankton:	 There's no one here. The Krusty Krab is empty. I've won!  The Krabby formula is mine.  It took eleventy-seven years, but I got it!  Oh, no.  No!  Oh, nuts.
SpongeBob:	  Did somebody order a Krabby...?  Whoa!  Look out. Oh. Oh, coming through. Whoa. Ooh. Whoa, whoa, whoa. Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.
Martha, Frankie Billy, and Bill:	 Hooray!
Mr. Krabs:	 Ah, 'tis a beautiful sight. It warms me heart.  Me Krabby Patty recipe! What's it  doin' out here? Whoa-ho! Shoulda known! Plankton.
Plankton:	 Hey, Krabs. uh, happy eleventy-seventh?
Mr. Krabs:	 It's launchin' time.
Plankton:	 Please, Krabs, no! I can't take it anymore! No more launching, please?!
Mr. Krabs:	 Oh, all right. Since I'm is such a good mood, I'll go easy on you this time.  There.  Happy landings, Plankton!
Plankton:	 You know, this isn't so bad. Everyone looks like little ants from up here. Wait. Help.
Mr. Krabs:	 Stay away from the high-tension wires.  Allow me to open the door for a valued customer.
Dave:	 Gee, thanks, mister. Today must be my lucky day. I found a wallet with 50 bucks in it.
Mr. Krabs:	 Wow, that's some coincidence 'cause I just lost one earlier today with 50 bu...! Hey, wait a minute! Come back with me wallet, ya thieving bilge rat!
SpongeBob:	 Happy anniversary, Krusty Krab.
Ricky Gervais:	 Wow, Patchy sure made a mess of things, didn't he? He's not much of a pirate either, really, come to think of it.  That's the problem.  Not like Blackbeard. Whoa, now there was a pirate.  Now Blackbeard  would have been able to get the real A-listers  on his TV special.  Yeah, your Bruce Willises and your Gwyneth Paltrows  and Ricky Gervaises.  Let's not forget him. Brilliant.  He wouldn't even have to shanghai them.  They would have  shown up on set out of respect.  and fear.  Back then, pirates were serious business.  Patchy's kinda  giving pirates a bad name, really,  if I'm being brutally honest.  Oh, well, thanks for watching, kiddies. We'll see you at the 20th anniversary.  That's 10 years from now. Starting now.
